
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
08.07.2018 19:00;08.07.2018 20:00;0,506;Tegelik;
08.07.2018 20:00;08.07.2018 21:00;0,522;Tegelik;
08.07.2018 21:00;08.07.2018 22:00;1,212;Tegelik;
08.07.2018 22:00;08.07.2018 23:00;0,577;Tegelik;
08.07.2018 23:00;09.07.2018 00:00;0,317;Tegelik;
09.07.2018 00:00;09.07.2018 01:00;0,398;Tegelik;
09.07.2018 01:00;09.07.2018 02:00;0,34;Tegelik;
09.07.2018 02:00;09.07.2018 03:00;0,263;Tegelik;
09.07.2018 03:00;09.07.2018 04:00;0,107;Tegelik;
09.07.2018 04:00;09.07.2018 05:00;0,074;Tegelik;
09.07.2018 05:00;09.07.2018 06:00;0,074;Tegelik;
09.07.2018 06:00;09.07.2018 07:00;0,122;Tegelik;
09.07.2018 07:00;09.07.2018 08:00;0,178;Tegelik;
09.07.2018 08:00;09.07.2018 09:00;0,107;Tegelik;
09.07.2018 09:00;09.07.2018 10:00;0,37;Tegelik;
09.07.2018 10:00;09.07.2018 11:00;0,184;Tegelik;
09.07.2018 11:00;09.07.2018 12:00;0,454;Tegelik;
09.07.2018 12:00;09.07.2018 13:00;0,566;Tegelik;
09.07.2018 13:00;09.07.2018 14:00;0,416;Tegelik;
09.07.2018 14:00;09.07.2018 15:00;0,358;Tegelik;
09.07.2018 15:00;09.07.2018 16:00;0,371;Tegelik;
09.07.2018 16:00;09.07.2018 17:00;0,433;Tegelik;
09.07.2018 17:00;09.07.2018 18:00;0,634;Tegelik;
09.07.2018 18:00;09.07.2018 19:00;0,428;Tegelik;
09.07.2018 19:00;09.07.2018 20:00;0,387;Tegelik;
09.07.2018 20:00;09.07.2018 21:00;0,39;Tegelik;
09.07.2018 21:00;09.07.2018 22:00;0,56;Tegelik;
09.07.2018 22:00;09.07.2018 23:00;0,322;Tegelik;
09.07.2018 23:00;10.07.2018 00:00;0,286;Tegelik;
10.07.2018 00:00;10.07.2018 01:00;0,724;Tegelik;
10.07.2018 01:00;10.07.2018 02:00;1,042;Tegelik;
10.07.2018 02:00;10.07.2018 03:00;0,909;Tegelik;
10.07.2018 03:00;10.07.2018 04:00;0,254;Tegelik;
10.07.2018 04:00;10.07.2018 05:00;0,175;Tegelik;
10.07.2018 05:00;10.07.2018 06:00;0,129;Tegelik;
10.07.2018 06:00;10.07.2018 07:00;0,798;Tegelik;
10.07.2018 07:00;10.07.2018 08:00;0,426;Tegelik;
10.07.2018 08:00;10.07.2018 09:00;0,269;Tegelik;
10.07.2018 09:00;10.07.2018 10:00;0,405;Tegelik;
10.07.2018 10:00;10.07.2018 11:00;0,363;Tegelik;
10.07.2018 11:00;10.07.2018 12:00;0,458;Tegelik;
10.07.2018 12:00;10.07.2018 13:00;2,323;Tegelik;
10.07.2018 13:00;10.07.2018 14:00;0,487;Tegelik;
10.07.2018 14:00;10.07.2018 15:00;0;Tegelik;
10.07.2018 15:00;10.07.2018 16:00;0;Tegelik;
10.07.2018 16:00;10.07.2018 17:00;0,127;Tegelik;
10.07.2018 17:00;10.07.2018 18:00;1,688;Tegelik;
10.07.2018 18:00;10.07.2018 19:00;2,228;Tegelik;
10.07.2018 19:00;10.07.2018 20:00;2,141;Tegelik;
10.07.2018 20:00;10.07.2018 21:00;1,578;Tegelik;
10.07.2018 21:00;10.07.2018 22:00;0,541;Tegelik;
10.07.2018 22:00;10.07.2018 23:00;0,457;Tegelik;
10.07.2018 23:00;11.07.2018 00:00;0,48;Tegelik;
11.07.2018 00:00;11.07.2018 01:00;0,548;Tegelik;
11.07.2018 01:00;11.07.2018 02:00;0,318;Tegelik;
11.07.2018 02:00;11.07.2018 03:00;1,18;Tegelik;
11.07.2018 03:00;11.07.2018 04:00;1,007;Tegelik;
11.07.2018 04:00;11.07.2018 05:00;0,262;Tegelik;
11.07.2018 05:00;11.07.2018 06:00;0,219;Tegelik;
11.07.2018 06:00;11.07.2018 07:00;0,073;Tegelik;
11.07.2018 07:00;11.07.2018 08:00;0,077;Tegelik;
11.07.2018 08:00;11.07.2018 09:00;0,07;Tegelik;
11.07.2018 09:00;11.07.2018 10:00;0,067;Tegelik;
11.07.2018 10:00;11.07.2018 11:00;0,417;Tegelik;
11.07.2018 11:00;11.07.2018 12:00;0,393;Tegelik;
11.07.2018 12:00;11.07.2018 13:00;0,399;Tegelik;
11.07.2018 13:00;11.07.2018 14:00;0,22;Tegelik;
11.07.2018 14:00;11.07.2018 15:00;0,87;Tegelik;
11.07.2018 15:00;11.07.2018 16:00;0,585;Tegelik;
11.07.2018 16:00;11.07.2018 17:00;0,678;Tegelik;
11.07.2018 17:00;11.07.2018 18:00;0,776;Tegelik;
11.07.2018 18:00;11.07.2018 19:00;1,689;Tegelik;
11.07.2018 19:00;11.07.2018 20:00;0,999;Tegelik;
11.07.2018 20:00;11.07.2018 21:00;0,552;Tegelik;
11.07.2018 21:00;11.07.2018 22:00;0,412;Tegelik;
11.07.2018 22:00;11.07.2018 23:00;0,55;Tegelik;
