Grupp;"Ajatempel (UTC)";Hind
fi;1564102800;36,57
fi;1564106400;36,37
fi;1564110000;38,49
fi;1564113600;63,01
fi;1564117200;70,2
fi;1564120800;73,19
fi;1564124400;73,31
fi;1564128000;73,82
fi;1564131600;73,09
fi;1564135200;73,27
fi;1564138800;72,81
fi;1564142400;72,92
fi;1564146000;73,2
fi;1564149600;70,05
fi;1564153200;67,02
fi;1564156800;59,95
fi;1564160400;58,69
fi;1564164000;61,07
fi;1564167600;55,34
fi;1564171200;51,54
fi;1564174800;40,84
fi;1564178400;39,01
fi;1564182000;37,59
fi;1564185600;37,01
fi;1564189200;36,04
fi;1564192800;35,1
fi;1564196400;35,28
fi;1564200000;35,33
fi;1564203600;36,05
fi;1564207200;54,41
fi;1564210800;56,83
fi;1564214400;59,69
fi;1564218000;59,03
fi;1564221600;58,38
fi;1564225200;60,59
fi;1564228800;60,09
fi;1564232400;59,59
fi;1564236000;61,12
fi;1564239600;60,92
fi;1564243200;61,12
fi;1564246800;61,12
fi;1564250400;60,03
fi;1564254000;51,77
fi;1564257600;38,59
fi;1564261200;35,03
fi;1564264800;34,75
fi;1564268400;32,39
fi;1564272000;29,13
fi;1564275600;27,13
fi;1564279200;27,1
fi;1564282800;26,8
fi;1564286400;29,91
fi;1564290000;34,39
fi;1564293600;35,56
fi;1564297200;44,07
fi;1564300800;48,07
fi;1564304400;51,3
fi;1564308000;52,68
fi;1564311600;54,38
fi;1564315200;54,72
fi;1564318800;52,31
fi;1564322400;51,38
fi;1564326000;50,16
fi;1564329600;55,01
fi;1564333200;54,07
fi;1564336800;56,4
fi;1564340400;47,12
fi;1564344000;40,14
fi;1564347600;38,85
fi;1564351200;36,96
fi;1564354800;35,18
fi;1564358400;33,73
fi;1564362000;34,37
fi;1564365600;34,8
fi;1564369200;36,41
fi;1564372800;55,32
fi;1564376400;66,78
fi;1564380000;74,17
fi;1564383600;71,89
fi;1564387200;69,77
fi;1564390800;76,85
fi;1564394400;73,26
fi;1564398000;64,63
fi;1564401600;63,68
fi;1564405200;61,61
fi;1564408800;60
fi;1564412400;56,05
fi;1564416000;60,09
fi;1564419600;60,67
fi;1564423200;55,36
fi;1564426800;51,96
fi;1564430400;43,02
fi;1564434000;39,39
fi;1564437600;38,8
fi;1564441200;38,35
fi;1564444800;38,16
fi;1564448400;38
fi;1564452000;38,16
fi;1564455600;38,59
fi;1564459200;47,33
fi;1564462800;59,8
fi;1564466400;58,36
fi;1564470000;56,68
fi;1564473600;55,15
fi;1564477200;54,95
fi;1564480800;53,58
fi;1564484400;50,9
fi;1564488000;49,95
fi;1564491600;49,94
fi;1564495200;43,09
fi;1564498800;43,02
fi;1564502400;52
fi;1564506000;55,36
fi;1564509600;43,01
fi;1564513200;40,58
fi;1564516800;39,96
fi;1564520400;38,66
fi;1564524000;37,98
fi;1564527600;37,54
fi;1564531200;35,98
fi;1564534800;35,78
fi;1564538400;36,19
fi;1564542000;37,8
fi;1564545600;40,12
fi;1564549200;53,36
fi;1564552800;56,77
fi;1564556400;56,41
fi;1564560000;54,93
fi;1564563600;55,66
fi;1564567200;56,4
fi;1564570800;57,83
fi;1564574400;58,89
fi;1564578000;57,47
fi;1564581600;42,89
fi;1564585200;49,02
fi;1564588800;60,22
fi;1564592400;61,02
fi;1564596000;51,48
fi;1564599600;49,92
fi;1564603200;42,84
lv;1561928400;4,33
lv;1561932000;20,71
lv;1561935600;19,82
lv;1561939200;19,84
lv;1561942800;20,56
lv;1561946400;21,09
lv;1561950000;24,07
lv;1561953600;27,7
lv;1561957200;51,2
lv;1561960800;56,66
lv;1561964400;59,92
lv;1561968000;59,96
lv;1561971600;68,09
lv;1561975200;68,21
lv;1561978800;68,16
lv;1561982400;62,69
lv;1561986000;51,29
lv;1561989600;60,27
lv;1561993200;57,58
lv;1561996800;57,5
lv;1562000400;56,45
lv;1562004000;51,28
lv;1562007600;55,55
lv;1562011200;33,03
lv;1562014800;26,08
lv;1562018400;27,35
lv;1562022000;24,09
lv;1562025600;22,73
lv;1562029200;21,53
lv;1562032800;20,57
lv;1562036400;23,09
lv;1562040000;41,93
lv;1562043600;51,15
lv;1562047200;56
lv;1562050800;54,44
lv;1562054400;55,52
lv;1562058000;55,36
lv;1562061600;60,1
lv;1562065200;58,01
lv;1562068800;55,14
lv;1562072400;53,49
lv;1562076000;55,22
lv;1562079600;53,05
lv;1562083200;51,39
lv;1562086800;49,75
lv;1562090400;41,93
lv;1562094000;36,33
lv;1562097600;29,98
lv;1562101200;27,61
lv;1562104800;26,12
lv;1562108400;25,7
lv;1562112000;25,37
lv;1562115600;25,15
lv;1562119200;25,33
lv;1562122800;26,73
lv;1562126400;34,35
lv;1562130000;42,17
lv;1562133600;52,15
lv;1562137200;51,02
lv;1562140800;53,62
lv;1562144400;50,39
lv;1562148000;51,98
lv;1562151600;49,91
lv;1562155200;45,08
lv;1562158800;52,61
lv;1562162400;42,19
lv;1562166000;41,83
lv;1562169600;45,73
lv;1562173200;48,64
lv;1562176800;49,91
lv;1562180400;36,59
lv;1562184000;29,46
lv;1562187600;27,59
lv;1562191200;27,78
lv;1562194800;27,29
lv;1562198400;26,82
lv;1562202000;26,98
lv;1562205600;27,11
lv;1562209200;28,07
lv;1562212800;51,96
lv;1562216400;56,78
lv;1562220000;60,29
lv;1562223600;60,38
lv;1562227200;60,86
lv;1562230800;59,42
lv;1562234400;58,41
lv;1562238000;56,66
lv;1562241600;55,25
lv;1562245200;56,2
lv;1562248800;49,99
lv;1562252400;50,87
lv;1562256000;50,88
lv;1562259600;54,9
lv;1562263200;53,7
lv;1562266800;42,01
lv;1562270400;32,6
lv;1562274000;27,26
lv;1562277600;26,19
lv;1562281200;25,84
lv;1562284800;25,46
lv;1562288400;25,52
lv;1562292000;25,9
lv;1562295600;26,76
lv;1562299200;32,97
lv;1562302800;45,72
lv;1562306400;47,68
lv;1562310000;49,42
lv;1562313600;49,43
lv;1562317200;42,26
lv;1562320800;50,19
lv;1562324400;45,78
lv;1562328000;45,77
lv;1562331600;43,95
lv;1562335200;31,56
lv;1562338800;34,51
lv;1562342400;45,7
lv;1562346000;41,99
lv;1562349600;32,62
lv;1562353200;33,07
lv;1562356800;29,47
lv;1562360400;28,56
lv;1562364000;29,5
lv;1562367600;28,54
lv;1562371200;27,14
lv;1562374800;27,03
lv;1562378400;27,48
lv;1562382000;28,06
lv;1562385600;28,51
lv;1562389200;29,03
lv;1562392800;30,06
lv;1562396400;30,25
lv;1562400000;29,7
lv;1562403600;28,53
lv;1562407200;27,52
lv;1562410800;27,17
lv;1562414400;26,81
lv;1562418000;32,01
lv;1562421600;32,1
lv;1562425200;32,98
lv;1562428800;33,8
lv;1562432400;34,53
lv;1562436000;32,72
lv;1562439600;33,33
lv;1562443200;32,67
lv;1562446800;28,39
lv;1562450400;28,21
lv;1562454000;25,98
lv;1562457600;25,03
lv;1562461200;24,27
lv;1562464800;23,36
lv;1562468400;24,11
lv;1562472000;25,09
lv;1562475600;25,7
lv;1562479200;26,9
lv;1562482800;28,01
lv;1562486400;28,59
lv;1562490000;28,42
lv;1562493600;27,96
lv;1562497200;27,74
lv;1562500800;27
lv;1562504400;26,99
lv;1562508000;27,48
lv;1562511600;28,17
lv;1562515200;29,36
lv;1562518800;31,17
lv;1562522400;31,86
lv;1562526000;35,01
lv;1562529600;31,25
lv;1562533200;29,81
lv;1562536800;28,93
lv;1562540400;28,52
lv;1562544000;28,18
lv;1562547600;27,95
lv;1562551200;28,26
lv;1562554800;29,16
lv;1562558400;33,78
lv;1562562000;50,62
lv;1562565600;54
lv;1562569200;54,13
lv;1562572800;54,11
lv;1562576400;54,7
lv;1562580000;53,37
lv;1562583600;52,54
lv;1562587200;51,1
lv;1562590800;51,73
lv;1562594400;49,22
lv;1562598000;44,75
lv;1562601600;47,06
lv;1562605200;47,02
lv;1562608800;51,66
lv;1562612400;44,76
lv;1562616000;30,75
lv;1562619600;29,72
lv;1562623200;30,55
lv;1562626800;29,51
lv;1562630400;29,17
lv;1562634000;28,98
lv;1562637600;29,23
lv;1562641200;30,07
