Grupp;"Ajatempel (UTC)";Hind
fi;1529665200;41,09
fi;1529668800;41
fi;1529672400;35,08
fi;1529676000;33,47
fi;1529679600;37,08
fi;1529683200;43,26
fi;1529686800;42,1
fi;1529690400;36,52
fi;1529694000;35,75
fi;1529697600;35,97
fi;1529701200;33,27
fi;1529704800;24,04
fi;1529708400;18,42
fi;1529712000;17,99
fi;1529715600;15,45
fi;1529719200;11,05
fi;1529722800;13,01
fi;1529726400;17,04
fi;1529730000;36,05
fi;1529733600;40,15
fi;1529737200;42,03
fi;1529740800;42,83
fi;1529744400;42,64
fi;1529748000;42,19
fi;1529751600;41,95
fi;1529755200;41,33
fi;1529758800;41,01
fi;1529762400;40,39
fi;1529766000;41,76
fi;1529769600;41,95
fi;1529773200;42,52
fi;1529776800;42,67
fi;1529780400;42,6
fi;1529784000;42,26
fi;1529787600;39,44
fi;1529791200;39,66
fi;1529794800;38,01
fi;1529798400;36,61
fi;1529802000;35,78
fi;1529805600;35,45
fi;1529809200;35,59
fi;1529812800;39,14
fi;1529816400;40,72
fi;1529820000;43,08
fi;1529823600;43,33
fi;1529827200;43,96
fi;1529830800;44,35
fi;1529834400;44,28
fi;1529838000;44,14
fi;1529841600;44,24
fi;1529845200;43,9
fi;1529848800;43,91
fi;1529852400;44,06
fi;1529856000;44,32
fi;1529859600;44,95
fi;1529863200;44,91
fi;1529866800;45,56
fi;1529870400;45,52
fi;1529874000;43,29
fi;1529877600;42,56
fi;1529881200;40,97
fi;1529884800;39,68
fi;1529888400;39,32
fi;1529892000;36,98
fi;1529895600;43,04
fi;1529899200;46,32
fi;1529902800;57,22
fi;1529906400;64,11
fi;1529910000;62,78
fi;1529913600;64,76
fi;1529917200;66,79
fi;1529920800;58,88
fi;1529924400;56,84
fi;1529928000;57,87
fi;1529931600;46,34
fi;1529935200;45,49
fi;1529938800;46,49
fi;1529942400;50,59
fi;1529946000;50,23
fi;1529949600;46,07
fi;1529953200;45,77
fi;1529956800;45,59
fi;1529960400;43,99
fi;1529964000;44,09
fi;1529967600;42,26
fi;1529971200;41,28
fi;1529974800;41,56
fi;1529978400;41,15
fi;1529982000;43,34
fi;1529985600;47,56
fi;1529989200;56,96
fi;1529992800;60,17
fi;1529996400;60,21
fi;1530000000;60,74
fi;1530003600;58,05
fi;1530007200;55,23
fi;1530010800;52,58
fi;1530014400;50,83
fi;1530018000;48,79
fi;1530021600;46,98
fi;1530025200;47,79
fi;1530028800;49,83
fi;1530032400;48,17
fi;1530036000;47,04
fi;1530039600;46,79
fi;1530043200;46,51
fi;1530046800;44,42
fi;1530050400;43,96
fi;1530054000;41,94
fi;1530057600;41,62
fi;1530061200;41,48
fi;1530064800;40,33
fi;1530068400;43,82
fi;1530072000;47,29
fi;1530075600;47,78
fi;1530079200;49,12
fi;1530082800;49,14
fi;1530086400;49,12
fi;1530090000;49,11
fi;1530093600;49,15
fi;1530097200;49,17
fi;1530100800;48,7
fi;1530104400;48,15
fi;1530108000;47,55
fi;1530111600;48,15
fi;1530115200;49,05
fi;1530118800;48,79
fi;1530122400;47,89
fi;1530126000;48,14
fi;1530129600;47,7
fi;1530133200;45,34
fi;1530136800;44,7
fi;1530140400;41,67
fi;1530144000;41,63
fi;1530147600;41,03
fi;1530151200;40
fi;1530154800;44,01
fi;1530158400;47,13
fi;1530162000;52,57
fi;1530165600;54,98
fi;1530169200;53,13
fi;1530172800;51,43
fi;1530176400;52,34
fi;1530180000;51,66
fi;1530183600;50,16
fi;1530187200;50,43
fi;1530190800;47,59
fi;1530194400;46,68
fi;1530198000;47,38
fi;1530201600;50,8
fi;1530205200;49,17
fi;1530208800;46,88
fi;1530212400;45,78
fi;1530216000;45,71
fi;1530219600;41,46
fi;1530223200;39
fi;1530226800;37,89
fi;1530230400;36,02
fi;1530234000;33,98
fi;1530237600;33,96
fi;1530241200;38,15
fi;1530244800;45,15
fi;1530248400;47,85
fi;1530252000;49,07
fi;1530255600;49,58
fi;1530259200;49,45
fi;1530262800;49,09
fi;1530266400;48,21
fi;1530270000;47,74
fi;1530273600;47,08
fi;1530277200;46,43
fi;1530280800;46,17
fi;1530284400;46,18
fi;1530288000;47,72
fi;1530291600;48,71
fi;1530295200;48,6
fi;1530298800;48,26
fi;1530302400;46,98
fi;1530306000;43,28
fi;1530309600;45,04
fi;1530313200;43,05
fi;1530316800;43,23
fi;1530320400;40,21
fi;1530324000;40,65
fi;1530327600;43,17
fi;1530331200;44,78
fi;1530334800;46,03
fi;1530338400;47,7
fi;1530342000;47,62
fi;1530345600;48,22
fi;1530349200;47,92
fi;1530352800;47,5
fi;1530356400;46,34
fi;1530360000;45,82
fi;1530363600;45,44
fi;1530367200;45,42
fi;1530370800;46,37
fi;1530374400;47,62
fi;1530378000;48,54
fi;1530381600;48,16
fi;1530385200;47,51
fi;1530388800;47,38
lv;1527800400;41,28
lv;1527804000;41,33
lv;1527807600;38,89
lv;1527811200;38,82
lv;1527814800;38,45
lv;1527818400;38,01
lv;1527822000;41,18
lv;1527825600;47,82
lv;1527829200;62,04
lv;1527832800;68,15
lv;1527836400;76,06
lv;1527840000;74,97
lv;1527843600;75,07
lv;1527847200;73,71
lv;1527850800;70,05
lv;1527854400;58,56
lv;1527858000;53
lv;1527861600;58
lv;1527865200;67,68
lv;1527868800;67,68
lv;1527872400;60,27
lv;1527876000;61,92
lv;1527879600;56,68
lv;1527883200;47,04
lv;1527886800;43,95
lv;1527890400;42,16
lv;1527894000;40,42
lv;1527897600;39,14
lv;1527901200;38,5
lv;1527904800;38,5
lv;1527908400;38,78
lv;1527912000;40,45
lv;1527915600;43,22
lv;1527919200;50,02
lv;1527922800;59,75
lv;1527926400;63,86
lv;1527930000;63,88
lv;1527933600;63,76
lv;1527937200;60,23
lv;1527940800;50,43
lv;1527944400;47,85
lv;1527948000;46,05
lv;1527951600;44,96
lv;1527955200;45,63
lv;1527958800;49,83
lv;1527962400;49,81
lv;1527966000;49,69
lv;1527969600;45,87
lv;1527973200;42,27
lv;1527976800;43,39
lv;1527980400;41,59
lv;1527984000;40,04
lv;1527987600;39,33
lv;1527991200;38,43
lv;1527994800;39,25
lv;1527998400;40,18
lv;1528002000;41,39
lv;1528005600;43,08
lv;1528009200;43,57
lv;1528012800;44,77
lv;1528016400;46,06
lv;1528020000;46,04
lv;1528023600;45,9
lv;1528027200;43,77
lv;1528030800;42,55
lv;1528034400;41,54
lv;1528038000;42,58
lv;1528041600;43,78
lv;1528045200;45,75
lv;1528048800;47,33
lv;1528052400;46,95
lv;1528056000;44,94
lv;1528059600;40,66
lv;1528063200;38,62
lv;1528066800;36,13
lv;1528070400;32,4
lv;1528074000;31,44
lv;1528077600;30,85
lv;1528081200;37,41
lv;1528084800;46,49
lv;1528088400;59,65
lv;1528092000;69,38
lv;1528095600;70,24
lv;1528099200;65,68
lv;1528102800;70,21
lv;1528106400;70,21
lv;1528110000;70,76
lv;1528113600;64,77
lv;1528117200;62,65
lv;1528120800;55,04
lv;1528124400;55,04
lv;1528128000;55,03
lv;1528131600;55,06
lv;1528135200;55,05
lv;1528138800;53,12
lv;1528142400;46,02
lv;1528146000;43,07
lv;1528149600;42,66
lv;1528153200;41,01
lv;1528156800;39,44
lv;1528160400;39,35
lv;1528164000;39,05
lv;1528167600;41,63
lv;1528171200;50,31
lv;1528174800;62,98
lv;1528178400;70,91
lv;1528182000;68,78
lv;1528185600;64
lv;1528189200;63,65
lv;1528192800;64,83
lv;1528196400;68,31
lv;1528200000;63,06
lv;1528203600;52,1
lv;1528207200;51,02
lv;1528210800;52,34
lv;1528214400;58,04
lv;1528218000;61,8
lv;1528221600;56,09
lv;1528225200;51,62
lv;1528228800;49,02
lv;1528232400;44,93
lv;1528236000;44,99
lv;1528239600;42,09
lv;1528243200;41,12
lv;1528246800;41,62
lv;1528250400;41,64
lv;1528254000;44,54
lv;1528257600;54,08
lv;1528261200;72,85
lv;1528264800;68,4
lv;1528268400;68,89
lv;1528272000;67,43
lv;1528275600;70,18
lv;1528279200;70,22
lv;1528282800;70,29
lv;1528286400;65,4
lv;1528290000;51,03
lv;1528293600;47,93
lv;1528297200;50,93
lv;1528300800;60,02
lv;1528304400;70,06
lv;1528308000;57,66
lv;1528311600;54,05
lv;1528315200;47,88
lv;1528318800;45,02
lv;1528322400;44,04
lv;1528326000;41,76
lv;1528329600;41,03
lv;1528333200;40,75
lv;1528336800;40,36
lv;1528340400;43,29
lv;1528344000;53,14
lv;1528347600;65,08
lv;1528351200;65,08
lv;1528354800;65,08
lv;1528358400;65,32
lv;1528362000;65,1
lv;1528365600;65,89
lv;1528369200;65,06
lv;1528372800;65,04
lv;1528376400;56,8
lv;1528380000;54,05
lv;1528383600;56,55
lv;1528387200;63,38
lv;1528390800;64,76
lv;1528394400;56,95
lv;1528398000;54,84
lv;1528401600;49,75
lv;1528405200;46,82
lv;1528408800;46,02
lv;1528412400;43,4
lv;1528416000;42,82
lv;1528419600;43,98
lv;1528423200;44,01
lv;1528426800;46,3
lv;1528430400;60,59
lv;1528434000;81,54
lv;1528437600;72,4
lv;1528441200;68,52
lv;1528444800;68
lv;1528448400;69,26
lv;1528452000;70,34
lv;1528455600;69,36
lv;1528459200;65,76
lv;1528462800;60,13
lv;1528466400;57,8
lv;1528470000;61,11
lv;1528473600;65,64
lv;1528477200;61,1
lv;1528480800;56,87
lv;1528484400;53,25
lv;1528488000;50,63
lv;1528491600;47,28
lv;1528495200;46,18
lv;1528498800;43,93
lv;1528502400;42,63
lv;1528506000;42,01
lv;1528509600;40,87
lv;1528513200;41,94
lv;1528516800;45,45
lv;1528520400;49,85
lv;1528524000;58,52
lv;1528527600;68,4
lv;1528531200;69,9
lv;1528534800;70,34
lv;1528538400;61,92
lv;1528542000;59,04
lv;1528545600;57,99
lv;1528549200;50,1
lv;1528552800;46,98
lv;1528556400;47,22
lv;1528560000;69,65
lv;1528563600;63,19
lv;1528567200;49,34
lv;1528570800;48,03
lv;1528574400;47,46
lv;1528578000;45,17
lv;1528581600;45,46
lv;1528585200;43,95
lv;1528588800;43,31
lv;1528592400;42,19
lv;1528596000;42,08
lv;1528599600;42,92
lv;1528603200;44,2
lv;1528606800;45,5
lv;1528610400;46,41
lv;1528614000;46,91
lv;1528617600;47,5
lv;1528621200;47,5
lv;1528624800;47,34
lv;1528628400;47,01
lv;1528632000;46,04
lv;1528635600;45,47
lv;1528639200;45,96
lv;1528642800;46,9
lv;1528646400;47,63
lv;1528650000;48,65
lv;1528653600;48,86
lv;1528657200;48,71
lv;1528660800;48,53
lv;1528664400;46,65
lv;1528668000;45,4
lv;1528671600;42,72
lv;1528675200;42,27
lv;1528678800;41,44
lv;1528682400;41,45
lv;1528686000;44,03
lv;1528689600;50,62
lv;1528693200;62
lv;1528696800;64,79
lv;1528700400;64,02
lv;1528704000;63,59
lv;1528707600;65,02
lv;1528711200;64,08
lv;1528714800;63,01
lv;1528718400;60,23
lv;1528722000;55,99
lv;1528725600;54,08
lv;1528729200;51,75
lv;1528732800;54,47
lv;1528736400;54,93
lv;1528740000;53,92
lv;1528743600;52
lv;1528747200;47,53
lv;1528750800;45,06
lv;1528754400;41,93
lv;1528758000;40,45
lv;1528761600;39,04
lv;1528765200;39,95
lv;1528768800;39,1
lv;1528772400;41,92
lv;1528776000;46,72
lv;1528779600;61,13
lv;1528783200;64,44
lv;1528786800;61,14
lv;1528790400;61,1
lv;1528794000;49,47
lv;1528797600;61,1
lv;1528801200;56,98
lv;1528804800;61,13
lv;1528808400;61,13
lv;1528812000;61,11
lv;1528815600;58,74
lv;1528819200;56,31
lv;1528822800;56,2
lv;1528826400;54,08
lv;1528830000;51,03
lv;1528833600;50,29
lv;1528837200;46,27
lv;1528840800;46,18
lv;1528844400;44,09
lv;1528848000;42,39
lv;1528851600;41,97
lv;1528855200;41,56
lv;1528858800;46,16
lv;1528862400;49,88
lv;1528866000;61,03
lv;1528869600;68,36
lv;1528873200;71,56
lv;1528876800;70,26
lv;1528880400;69,1
lv;1528884000;67,78
lv;1528887600;69,03
lv;1528891200;69,09
lv;1528894800;61,01
lv;1528898400;53,07
lv;1528902000;53,03
lv;1528905600;61,09
lv;1528909200;61,07
lv;1528912800;56,85
lv;1528916400;54,93
lv;1528920000;51,24
lv;1528923600;46,91
lv;1528927200;47,25
lv;1528930800;45,54
lv;1528934400;43,65
lv;1528938000;42,98
lv;1528941600;43,08
lv;1528945200;44,9
lv;1528948800;50,02
lv;1528952400;61
lv;1528956000;65,68
lv;1528959600;66,6
lv;1528963200;66,76
lv;1528966800;70,11
lv;1528970400;72,6
lv;1528974000;69,03
lv;1528977600;69,04
lv;1528981200;60,95
lv;1528984800;58,95
lv;1528988400;56,8
lv;1528992000;60,03
lv;1528995600;58,88
lv;1528999200;57,79
lv;1529002800;54,62
lv;1529006400;47,02
lv;1529010000;41,19
lv;1529013600;40,06
lv;1529017200;38,75
lv;1529020800;37,8
lv;1529024400;36,77
lv;1529028000;37,73
lv;1529031600;41,92
lv;1529035200;48,03
lv;1529038800;61
lv;1529042400;63,42
lv;1529046000;61,07
lv;1529049600;61,06
lv;1529053200;61,06
lv;1529056800;61,07
lv;1529060400;61,06
lv;1529064000;61,05
lv;1529067600;61,08
lv;1529071200;59,31
lv;1529074800;56,3
lv;1529078400;56,89
lv;1529082000;56,9
lv;1529085600;54,75
lv;1529089200;52,64
lv;1529092800;48,03
lv;1529096400;45,56
lv;1529100000;43,92
lv;1529103600;41,65
lv;1529107200;41,01
lv;1529110800;40,71
lv;1529114400;40,29
lv;1529118000;41,28
lv;1529121600;42,04
lv;1529125200;43,72
lv;1529128800;50,36
lv;1529132400;64,45
lv;1529136000;70,39
lv;1529139600;94,08
lv;1529143200;70,33
lv;1529146800;64,49
lv;1529150400;53,21
lv;1529154000;54,2
lv;1529157600;49,13
lv;1529161200;45,56
lv;1529164800;46,02
lv;1529168400;46,8
lv;1529172000;46,08
lv;1529175600;45,66
lv;1529179200;46,1
lv;1529182800;44,24
lv;1529186400;43,87
lv;1529190000;42,09
lv;1529193600;40,42
lv;1529197200;40,02
lv;1529200800;39,6
lv;1529204400;39,64
lv;1529208000;40,55
